tic,longitude,latitude
GK,-93.4077030893686,44.896589618643944
GATX,-87.63590893936448,41.878871700000005
AJG,-87.7831834,42.0552651
GPS,-71.1179970049894,42.28692635
GAN.,-73.98270390034132,40.748885200000004
GNDIF,-97.1697291,49.8357806
DNA,-122.390083,37.6521733
GBND,-96.97099016171896,33.021174200000004
H.2,-71.1528006605199,42.72339465
GNRD,-73.054832557693,41.48703908836492
MCLN,-2.6308062,51.4781092
GD,-77.3415415,38.9516243
GE,-71.05063638461539,42.34963853846154
GE1,-0.0656891,51.6450753
GKIN.1,-114.329724,34.481562
GM,-83.03897627329664,42.3288286
EDS.,-80.0892765,26.8383233
GPU.,-73.98007635090342,40.75268305
SPXC,-80.84568398300428,35.060724
VZ12,-73.9847556191919,40.754683549999996
VZ13,-82.4569979,27.9468574
VZ16,-74.03480551006712,40.781803731543626
3GENBB,-102.6471789375,48.560885666666664
GNTX,-86.21353402020202,39.77530046464646
GEN.2,-71.41628426701186,42.57454715
GPC,-84.4558878912656,33.9108373
GEOI.1,-100.247717,45.010457
SO2,-84.3840293,33.7643463
GRB,-71.86976177083334,42.08695772916666
GIGA,-98.593514,29.497986
3STCIA,-75.4619552,40.0434073
G.1,-71.057105,42.343872
GISH,-117.60551341843251,33.6291203
GSK,-0.3168722859934605,51.4880941
GSF.2,-1.5676667,53.8303789
GPIX10,-94.5915977,39.0846563
BLKO,-71.76329278304863,42.299376300000006
WSRC,-81.8406145,30.3672976
2766B,-84.34514121560765,33.918402886254704
GLDC,-86.8225882,33.5022224
GDW,-80.32577484242424,39.270638399999996
GV,-80.6475812,28.0859066
GWOX,-87.79976170616229,41.55262764397656
GT,-81.06024848612029,29.191425742833363
GRC,-88.878565,39.842397
GRA,-112.3291511,45.8103462
GGG,-81.3370704436337,35.74818680540659
3GRDC,-117.7354228095403,33.65511420640283
GHM,-1.8284104426858052,52.536566199999996
GWW,-96.6839374,40.7303118
1737B,-90.33899816834911,38.6514768
JFTSF,-91.535392,42.660702
GAPTQ,151.0330741,-33.6999279
GLK.1,-73.29530492610782,43.71839275639172
BOW1.,-71.2138737,46.8099745
GNI,-93.09115929771826,44.946356699999995
GMP.1,-94.20249719916339,34.640451204894546
NKID,-73.5390781,40.7924116
GEF,-81.99591242089056,33.426781916714404
GREY,-71.25673149317777,42.3913864
GSY.2,-78.88888804400399,36.01841659205905
SO3,-71.4579681,41.4976637
ETR7,-77.91665363409736,37.968485127750895
HEIIQ,-93.6564215,44.8613815
3HIAI,-105.0391493,39.9184607
HU,-74.166621,41.07801
ASPT,-71.10519520876096,42.399732099999994
MRDG,-84.0496846,39.7721425
HAL,-95.34026118154839,29.937775000000002
3HPTI,-74.0795967,42.4433581
JHS,-87.8801472,41.8715418
HDLM,-83.1571261,42.5568213
HKNI,-123.2639105,44.571936
JH,-98.6206648,29.593251199999997
AXRX,-118.9187444239497,35.40408539309313
LHX,-80.63623812169624,28.09257302864719
HSC,-76.90993807032858,40.262066107868655
HAVA,-74.843289924231,40.64592754153773
HGMG,-96.874932,39.895308103933715
VZ14,-0.0952193,51.5376315
HWKN,-117.7516311,33.7231509
WELL,-71.09138,42.327198
HEAL,-121.25378504455941,38.72817265
HMYRQ,-102.347514,31.84812
HEI,-71.418943,42.991876
KHC,-80.00376059073113,40.4400104
HELE,-106.57775538344492,31.874059
HELX.1,-72.0313863,44.3171513
HP,134.7692584,-29.0103129
HPC,152.9496027,-27.5453913
HSY,-76.64932622338225,40.28580201176089
SCD.A,-80.482217,43.440063
HTZGQ,-86.0172462,36.559139
HPQ,-122.1492233,37.4142218
3HISR,-73.6928227391918,40.76675335
HIB,-90.0714366,29.9517529
HIPC.,-80.40010305,41.3406051
HTHIY,139.7675572,35.6842978
PNK,-115.158196,36.116362
HOOB,-63.4582459,45.0845632
HD,-84.223696,30.545872
HM,-118.4688935,33.98871785714286
HPHWQ,-96.9633801159094,32.81955319797415
HRL,-92.967988,43.681662
HNVD,-74.01990583813989,40.7606248
HOT,-61.28705240842501,-38.987056100000004
0780B,-71.16677129707777,42.72510438726543
HI2,-121.66545111354314,39.20368809098137
HGMI,-157.8589991146012,21.31379749808285
CNP,-91.18999730612245,32.398130367346944
UBA,-71.46202712653111,43.54912691047822
HUBB,-71.431699034375,42.1384154
HUFCQ,-84.21897877968968,39.622753349999996
HUG,-0.2580293,51.5189674
HUN.2,-75.17461198543123,39.954284
JBHT,-94.1494189,36.2446589
3HTDLY,-0.2795558,52.3550248
HBAN,-73.42873496153847,40.86729311538461
HURC,104.9061359,11.5697928
HTCH,-94.3569701152228,44.90083270963156
HBP,-94.8805922,40.3495521
HYBD,-1.4282065,52.8918489
SCNYB,-84.91964198102434,39.86242736404236
HYDI,-71.14139047364026,42.50651245
3HTEK,-112.242486,45.880254
ICHP,-116.939152,46.55499
IEC,-2.2673558,53.4568475
LPHIQ,-97.21102609090909,31.499522252525253
IISLF,34.805953233172076,32.083716800000005
MYAG,-118.33535605600997,33.80437023558066
VTA.,-2.3921484,53.7561246
ITT,-73.823283,40.966462
IDA,-116.20818591528203,43.61881665
ITW,-87.80406059843786,42.0578814
IMNX,-73.8367733,42.5885044
TLGT,-89.36604159147093,40.155978644191414
IPII,-80.2163658367347,25.795978857142856
IMAT,-122.383443,37.666448
IMMU,-74.47298100058939,40.822946391051964
IMO,-76.82668206451464,39.43618825
INFG,-93.20736557142857,44.948269897959186
TT,-6.2195664,53.4487438
IRIC,-73.918972,41.710548
ISOL,-104.88359535865007,39.58908687590208
INEY,-118.442651,34.060417
AEGN,-90.63351034346033,38.664759849999996
